id,kab_kota,desa,lat,long,pendidikan_sd,pendidikan_smp,pendidikan_sma,pendidikan_pt,kesehatan_rs,keseharan_posyandu,kesehatan_puskesmas,klb_gizi,klb_diare,klb_dbd,klb_covid,sosial_tawuran,sosial_bundir_lk,sosial_bundir_pr,pemukiman_nonlistrik,pemukiman_kumuh,pemukiman_bantaran_sungai,bencana_banjir,bencana_longsor,ekonomi_umkm,ekonomi_koperasi,ekonomi_pasar
3204072001,Bandung,Jatiendah,6.90308975,107.698697,9,1,1,1,0,19,1,0,0,0,53,0,0,0,0,0,0,0,0,8,0,8
3204072004,Bandung,Melatiwangi,6.89219171,107.704454,1,3,0,0,0,12,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0
3204072003,Bandung,Cipanjalu,6.88553873,107.712275,4,4,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0
3204072005,Bandung,Ciporeat,6.88782179,107.72196,1,3,1,1,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,1
3204072002,Bandung,Cilengkrang,6.89224968,107.72596,2,2,2,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
3204061002,Bandung,Cibeunying,6.88696118,107.63363,7,9,3,1,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9
3204061001,Bandung,Padasuka,6.89237007,107.654971,7,8,4,1,1,14,1,1,0,0,15,0,1,0,0,0,60,0,0,38,0,4
3204062004,Bandung,Mandalamekar,6.88263139,107.670582,2,3,1,0,0,13,0,0,0,0,26,0,0,0,0,0,0,0,0,9,0,2
3204062005,Bandung,Cikadut,6.88910155,107.680508,4,3,3,1,0,14,0,0,0,10,122,0,0,0,0,0,30,0,0,38,0,2
3204062007,Bandung,Sindanglaya,6.88985068,107.685899,2,3,2,0,0,13,1,0,0,6,20,0,0,0,0,0,59,0,0,80,0,0
3204062009,Bandung,Mekarmanik,6.86773354,107.69447,0,6,3,1,0,16,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0
