ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;Y
12442;10;16676;18;0.752921811;0.781234568;3822;0.382040216;19;30;2.3;2;0
12443;88;24297;44;0.805378764;0.910560203;747;0.962962963;61;1120;6;4;0
12444;175;17996;20;0.801994302;0.788850039;1956;0.757936508;0;0;9;3.3;0
12445;291;64992;176;0.812740219;0.998522895;2994;0.370938511;2056;3334;18.3;10.3;0
12446;96;29891;51;0.682222824;0.992307692;421;1;0;0;16;5.3;0
12447;185;27273;95;0.779795427;0.998778999;2912;0.860062893;0;0;4.7;2.7;0
12448;4;9541;6;0.633333333;0.887301587;23433;0.906134165;0;0;7.3;4;0
12449;1;1764;3;0.9;0.216666667;407;0.75;7988;61389;3.3;2;0
12450;152;53206;71;0.825313306;0.799875475;9997;0.792276507;1525;40450;5.3;2.7;0
12451;32;5619;2;0.642857143;1;183;0.444444444;6247;61409;2.3;1.7;1
12452;66;31238;61;0.821811205;1;494;0.393473194;685;29393;7.7;5.7;1
12453;108;58739;78;0.72412854;0.972562636;1235;0.868421053;0;0;3.7;1;0
12454;162;29472;104;0.715266078;1;6311;1;74;120;10.7;4;0
12455;362;27569;66;0.767735105;1;4539;0.630558778;46;9969;6.7;3.3;0
12456;6;7615;3;0.725108225;0.414718615;281;0.2;1951;22614;2;1.3;1
12457;10;11840;35;0.859563448;0.96924405;1014;0.87037037;4432;32667;3.7;3.3;0
12458;0;0;0;0;0;0;0;1421;74449;9;4.7;0
12459;33;20989;17;0.824799982;0.778199452;13900;0.660454736;0;0;9.7;7;0
12460;5;20706;12;0.43457522;0.682696841;0;0;193;313;4;3;0
12461;14;11735;11;0.773809524;0.787477954;9219;0.845702905;5686;9221;5;3.3;0
12462;319;23567;62;0.657990158;0.993706294;5025;0.656203091;0;0;6;2;0
12463;0;135;0;1;0;1418;0.385501355;727;46324;8.7;5.7;0
12464;102;3648;69;0.711820501;0.944189383;2497;0.713546181;161;15220;6;3.3;0
12465;130;107393;112;0.810128273;0.790836379;7729;0.814027823;3039;43554;9;3.7;1
12466;402;45740;187;0.699724384;0.997183099;1675;1;0;0;8;5;0
12467;4;6763;4;0.781313131;0.385353535;1522;0.559011164;934;51758;2.3;2;0
12468;24;25875;53;0.766317216;0.665135501;3506;0.734765235;25;40;4.3;3;0
12469;141;25047;31;0.698792271;0.991545894;6969;0.96386835;0;0;10.7;2.7;0
12470;148;41243;77;0.769403455;1;22439;1;2;7602;10.3;6.3;0
12471;1;3204;4;0.828042328;0.916005291;183;0.5;1494;26667;1;1;1
12472;40;29084;24;0.696477291;0.973519499;288;1;12;20;3.3;1.7;0
12473;157;37050;111;0.664105484;0.997483088;21092;0.910619688;0;0;11.3;3.7;0
12474;201;30514;147;0.856376617;0.995584989;10778;0.97452381;0;0;16;9;0
12475;1;3544;2;0.378205128;0.760683761;708;0.418181818;3504;65667;2.3;1.7;1
12476;20;23477;27;0.829863275;1;3058;1;913;1480;4.3;3;0
12477;8;11911;9;0.74745275;1;6578;0.996840442;0;0;6.3;5;0
12478;90;16413;27;0.724185162;1;9840;1;72;6322;11;3;0
